ER60001	ER60002	ER60017	ER60018	ER60167	ER62366	ER62506	ER64612	ER64810	ER65349	ER65459
1	4626	77	1	0	3	0	5	2	58112	12
1	1948	54	2	5	5	0	1	2	200	14
1	8327	37	2	0	2	0	5	2	82050	13
1	2008	35	2	0	2	0	1	1	13400	12
1	8432	32	2	0	2	0	5	3	90500	15
1	2	81	2	5	3	0	5	2	21407	16
1	1720	76	2	5	2	0	5	1	34116	10
1	2276	43	2	5	5	0	5	1	10997	12
1	5197	23	1	0	3	0	5	1	32000	13
1	381	48	1	0	3	0	5	1	253100	17
1	2559	79	1	5	5	0	5	1	60559	12
1	2503	26	2	0	3	0	5	1	45050	16
1	2119	23	1	0	3	3	5	1	40000	14
1	1393	53	1	0	2	0	5	1	85392	17
1	7154	63	1	0	2	0	5	1	805000	17
1	186	58	1	5	2	0	5	1	13100	16
1	2662	68	2	5	2	0	5	1	128300	17
1	3993	42	1	0	2	0	1	1	155450	16
1	6389	39	1	0	2	0	5	1	8520	16
1	5697	27	2	0	2	0	5	1	70000	16
1	4292	35	1	0	2	0	5	1	218300	17
1	4272	38	1	0	1	1	5	1	364100	14
1	7679	31	1	0	2	0	5	1	441281	16
1	1554	36	1	0	1	2	5	1	535853	17
1	298	71	1	0	2	0	5	1	70800	12
1	3998	46	1	0	3	0	1	1	117020	12
1	8659	42	1	0	2	0	5	1	91200	12
1	3144	63	1	0	2	0	5	1	62810	14
1	4413	50	2	0	4	0	5	1	24403	13
1	5	52	1	0	3	0	1	1	85895	15
1	3452	68	1	5	1	0	5	1	40200	16
1	4452	32	1	0	3	0	1	1	148100	16
1	7556	42	1	0	2	0	5	1	128100	16
1	2902	65	1	5	3	0	5	1	63050	16
1	979	38	1	0	2	0	5	1	83002	17
1	4140	31	1	0	1	1	5	1	84006	16
1	3810	29	1	0	1	1	5	1	86856	16
1	882	37	1	0	1	0	5	1	149028	17
1	6326	43	1	0	2	0	5	1	94500	12
1	4911	36	2	0	3	0	5	9	50640	16
1	2174	19	2	0	1	1	5	1	6225	13
1	710	82	1	5	4	0	5	1	69404	12
1	6787	35	1	0	2	0	5	1	85500	14
1	253	40	1	0	5	0	5	1	60000	99
1	3247	38	2	0	2	0	5	1	60000	14
1	849	31	1	0	2	0	5	1	50300	12
1	1328	28	1	0	2	0	5	1	83090	16
1	2016	25	1	0	2	0	5	1	40047	14
1	6195	24	1	0	1	1	5	1	-22000	16
1	3148	18	2	0	1	1	5	1	30550	11
1	2476	62	1	0	3	0	5	1	59311	12
1	5339	59	1	0	2	1	5	1	109600	16
1	231	58	1	0	2	0	5	1	17040	12
1	1787	47	1	0	3	0	5	1	58516	10
1	2315	33	1	0	1	0	5	1	57616	14
1	2535	37	1	0	3	0	5	1	98560	12
1	2126	35	1	0	2	0	5	1	158010	16
1	1327	61	1	0	2	0	1	1	108837	17
1	5285	57	1	0	1	0	5	1	80622	17
1	6416	36	2	0	2	0	5	1	59001	16
1	2558	31	1	0	1	0	5	1	100790	17
1	2131	28	1	0	3	0	5	1	45000	17
1	25	24	1	5	2	0	5	1	55500	17
1	2881	69	1	5	1	0	5	1	422474	17
1	3755	68	1	5	3	0	5	1	108106	17
1	16	63	1	5	2	0	5	1	20400	12
1	7882	29	1	0	1	0	1	1	18000	12
1	6261	28	2	0	4	0	5	1	50333	12
1	8086	27	2	1	2	3	5	1	25276	14
1	7703	27	1	0	2	2	5	1	69190	12
1	807	57	1	0	3	0	1	1	117888	15
1	7820	72	1	5	3	0	5	1	36912	16
1	372	26	1	0	2	0	5	1	64002	16
1	6866	29	1	0	3	0	5	1	70002	13
1	4123	68	2	5	4	0	1	1	64200	16
1	826	76	2	0	5	0	5	1	44285	12
1	2979	55	2	0	2	0	5	1	40000	12
1	1101	37	1	0	2	0	5	1	60000	12
1	368	58	1	5	2	0	5	1	48156	12
1	4704	26	1	0	3	0	5	1	45800	12
1	637	35	1	0	3	0	5	1	82006	16
1	3305	33	1	0	2	1	1	1	102000	17
1	1712	65	1	5	3	0	5	1	109868	17
1	9	76	2	0	3	0	5	1	113000	17
1	8262	23	2	0	2	0	5	1	140100	15
1	935	24	1	0	1	0	1	1	77328	12
1	8964	35	1	0	2	0	5	1	33600	14
1	4587	32	1	0	1	1	5	1	37527	16
1	7389	30	1	0	2	1	5	1	45000	17
