Zip	State	County	City	ZrentValue
33157	FL	Miami-Dade	Village of Palmetto Bay	2000
98133	WA	King	Shoreline	2244
94541	CA	Alameda	Hayward	2667
29223	SC	Richland	Columbia	1084
28601	NC	Catawba	Hickory	1127
11225	NY	Kings	New York	2307
32792	FL	Seminole	Goldenrod	1443
90802	CA	Los Angeles	Long Beach	1934
11213	NY	Kings	New York	2319
31419	GA	Chatham	Savannah	1201
63021	MO	Saint Louis	Ballwin	1530
73160	OK	Cleveland	Moore	1106
95035	CA	Santa Clara	Milpitas	3269
78249	TX	Bexar	San Antonio	1453
11368	NY	Queens	New York	2275
75043	TX	Dallas	Garland	1452
92115	CA	San Diego	San Diego	2298
29445	SC	Berkeley	Goose Creek	1325
14580	NY	Monroe	Town of Webster	1725
27284	NC	Forsyth	Kernersville	1187
63129	MO	Saint Louis	Oakville	1380
92104	CA	San Diego	San Diego	2385
29464	SC	Charleston	Mount Pleasant	2455
70726	LA	Livingston	Denham Springs	1359
20020	DC	District of Columbia	Washington	1966
90631	CA	Orange	La Habra	2652
6516	CT	New Haven	West Haven	1646
85022	AZ	Maricopa	Phoenix	1384
93274	CA	Tulare	Tulare	1167
85204	AZ	Maricopa	Mesa	1231
11203	NY	Kings	New York	2208
85301	AZ	Maricopa	Glendale	1050
92646	CA	Orange	Huntington Beach	3157
93230	CA	Kings	Hanford	1194
30909	GA	Richmond	Augusta	1035
30004	GA	Fulton	Milton	2165
75002	TX	Collin	Allen	1855
1960	MA	Essex	Peabody	2343
94587	CA	Alameda	Union City	3037
30906	GA	Richmond	Augusta	804
92647	CA	Orange	Huntington Beach	2975
66061	KS	Johnson	Olathe	1575
31088	GA	Houston	Warner Robins	995
92630	CA	Orange	Lake Forest	2956
95051	CA	Santa Clara	Santa Clara	3524
98115	WA	King	Seattle	2786
11220	NY	Kings	New York	2280
77083	TX	Fort Bend	Mission Bend	1431
85008	AZ	Maricopa	Phoenix	1179
32608	FL	Alachua	Gainesville	1357
97045	OR	Clackamas	Oregon City	1969
89110	NV	Clark	Las Vegas	1098
75211	TX	Dallas	Dallas	1254
92376	CA	San Bernardino	Rialto	1635
10031	NY	New York	New York	2977
33511	FL	Hillsborough	Brandon	1420
95355	CA	Stanislaus	Modesto	1512
36117	AL	Montgomery	Montgomery	1208
98632	WA	Cowlitz	Longview	1297
21224	MD	Baltimore City	Baltimore	1409
92154	CA	San Diego	San Diego	2279
33458	FL	Palm Beach	Jupiter	2153
43229	OH	Franklin	Columbus	1194
34787	FL	Orange	Winter Garden	1641
97401	OR	Lane	Eugene	1507
32246	FL	Duval	Jacksonville	1233
29485	SC	Dorchester	Summerville	1495
33414	FL	Palm Beach	Wellington	2442
27705	NC	Durham	Durham	1437
67401	KS	Saline	Salina	829
37167	TN	Rutherford	Smyrna	1352
17331	PA	York	Hanover	1260
21061	MD	Anne Arundel	Glen Burnie	1712
99208	WA	Spokane	Spokane	1425
95014	CA	Santa Clara	Cupertino	4308
85345	AZ	Maricopa	Peoria	1164
74133	OK	Tulsa	Tulsa	1376
95670	CA	Sacramento	Rancho Cordova	1574
92105	CA	San Diego	San Diego	2086
46143	IN	Johnson	Greenwood	1300
98682	WA	Clark	Vancouver	1628
60148	IL	Du Page	Lombard	1839
45013	OH	Butler	Hamilton	1106
32303	FL	Leon	Tallahassee	1087
87124	NM	Sandoval	Rio Rancho	1159
85251	AZ	Maricopa	Scottsdale	1492
19067	PA	Bucks	Lower Makefield	2164
20852	MD	Montgomery	North Bethesda	2134
30066	GA	Cobb	Marietta	1529
19134	PA	Philadelphia	Philadelphia	1017
79924	TX	El Paso	El Paso	895
30253	GA	Henry	McDonough	1261
60637	IL	Cook	Chicago	1325
28210	NC	Mecklenburg	Charlotte	1600
38655	MS	Lafayette	Oxford	1442
94080	CA	San Mateo	South San Francisco	3544
28215	NC	Mecklenburg	Charlotte	1164
75035	TX	Collin	Frisco	2119
83301	ID	Twin Falls	Twin Falls	1123
70072	LA	Jefferson	Marrero	1247
72712	AR	Benton	Bentonville	1262
77521	TX	Harris	Baytown	1448
33433	FL	Palm Beach	Boca Raton	2105
47150	IN	Floyd	New Albany	1028
89103	NV	Clark	Las Vegas	973
12180	NY	Rensselaer	Troy	1228
10014	NY	New York	New York	4270
90640	CA	Los Angeles	Montebello	2390
78758	TX	Travis	Austin	1539
33015	FL	Miami-Dade	Country Club	1770
78759	TX	Travis	Austin	2180
28216	NC	Mecklenburg	Charlotte	1140
92648	CA	Orange	Huntington Beach	3444
38305	TN	Madison	Jackson	1029
45044	OH	Butler	Middletown	1023
23322	VA	Chesapeake City	Chesapeake	1940
