Zip	NoReturns	SingleReturns	UnempComp	StudentLoanDeductions	TaxableIncome
55965	190	70	147	32	7260
55967	60	30	0	0	2345
55969	90	30	0	27	3492
55970	70	30	0	31	2877
55971	250	60	0	58	10075
55972	350	80	162	61	13572
55973	30	0	0	0	1011
55974	150	50	169	31	5544
55975	320	80	146	47	12231
55976	550	150	199	129	21732
55979	80	30	0	37	2907
55981	300	110	0	36	12221
55982	50	0	0	0	2531
55983	130	50	98	37	5536
55985	140	60	126	23	5588
55987	2050	650	628	397	82751
55990	70	30	0	16	2914
55991	80	40	0	0	3318
55992	400	120	158	79	15848
56001	2530	880	608	607	101884
56003	1120	380	337	240	45588
56007	1400	390	561	177	55010
56009	130	50	88	22	5092
56010	110	40	0	0	4423
56011	760	290	396	141	29990
56013	350	90	236	43	13660
56014	60	30	0	0	2465
56016	70	30	98	0	2739
56017	140	50	266	0	5611
56019	80	40	0	0	3148
56021	100	40	0	0	4092
56023	40	0	0	0	1464
56024	240	80	0	63	9595
56025	60	0	0	0	2238
56026	170	50	182	24	6799
56027	40	30	0	0	1625
56028	110	40	105	0	4287
56029	60	20	0	0	2652
56031	840	250	233	126	33771
56033	40	0	0	0	1839
56034	40	30	0	0	1653
56036	140	30	146	0	5690
56037	140	50	0	19	5556
56039	90	30	0	23	3660
56041	90	40	0	42	3470
56042	50	0	0	0	1843
56043	40	30	0	0	1460
56044	200	70	206	0	7659
56045	50	0	0	43	1989
56048	350	90	106	65	13763
56050	120	40	112	34	4671
56051	70	0	0	0	3148
56052	80	40	212	31	2887
56054	80	30	0	24	3457
56055	330	100	110	57	13217
56057	260	80	223	49	10306
56058	460	160	414	70	18505
56060	40	20	0	0	1639
56062	260	80	120	39	10273
56063	200	70	0	34	8020
56065	230	60	169	38	8789
56068	100	40	0	33	4005
56069	390	140	237	53	15884
56071	850	290	515	143	33324
56072	180	50	131	19	6938
56073	1400	450	373	222	55997
56074	160	60	134	29	6611
56078	40	0	0	0	1743
56081	410	100	187	59	16616
56082	820	290	252	196	33066
56083	80	30	0	0	3136
56085	400	120	156	49	16289
56087	210	60	197	35	8140
56088	160	60	141	26	6445
56089	20	0	0	0	1197
56090	50	20	0	0	2101
56091	30	0	0	0	936
56093	910	300	397	160	36051
56096	250	70	193	30	9683
56097	270	60	152	45	10571
56098	150	70	155	0	5780
56101	420	100	206	51	16482
56110	140	40	0	36	5605
56111	30	0	0	0	1247
56113	0	0	0	0	0
56114	40	0	0	0	1816
56115	120	40	0	33	4751
56116	50	0	0	37	1873
56117	30	0	0	0	990
56118	50	0	0	0	2166
56119	90	40	0	24	3403
56120	90	30	0	0	3523
